Index,CTE,p_error,d_error,i_error,steering_output
316,3.4005,0.34005,0,0,0.34005
317,3.3801,0.33801,-0,0,0.33801
318,3.3421,0.33421,-0,0,0.33421
319,3.2475,0.32475,-0,0,0.32475
320,3.1074,0.31074,-0,0,0.31074
321,2.9887,0.29887,-0,0,0.29887
322,2.7735,0.27735,-0,0,0.27735
323,2.6058,0.26058,-0,0,0.26058
324,2.3194,0.23194,-0,0,0.23194
325,2.1063,0.21063,-0,0,0.21063
326,1.7556,0.17556,-0,0,0.17556
327,1.37,0.137,-0,0,0.137
328,1.0952,0.10952,-0,0,0.10952
329,0.8079,0.08079,-0,0,0.08079
330,0.3679,0.03679,-0,0,0.03679
331,-0.0688,-0.00688,-0,0,-0.00688
332,-0.3293,-0.03293,-0,0,-0.03293
333,-0.7275,-0.07275,-0,0,-0.07275
334,-0.9976,-0.09976,-0,0,-0.09976
335,-1.4049,-0.14049,-0,0,-0.14049
336,-1.811,-0.1811,-0,0,-0.1811
337,-2.0784,-0.20784,-0,0,-0.20784
338,-2.4696,-0.24696,-0,0,-0.24696
339,-2.7208,-0.27208,-0,0,-0.27208
340,-3.0784,-0.30784,-0,0,-0.30784
341,-3.3017,-0.33017,-0,0,-0.33017
342,-3.6053,-0.36053,-0,0,-0.36053
343,-3.7799,-0.37799,-0,0,-0.37799
344,-3.997,-0.3997,-0,0,-0.3997
345,-4.1847,-0.41847,-0,0,-0.41847
346,-4.297,-0.4297,-0,0,-0.4297
347,-4.4595,-0.44595,-0,0,-0.44595
348,-4.3977,-0.43977,0,0,-0.43977
349,-4.2796,-0.42796,0,0,-0.42796
350,-4.1723,-0.41723,0,0,-0.41723
351,-3.9684,-0.39684,0,0,-0.39684
352,-3.8036,-0.38036,0,0,-0.38036
353,-3.5135,-0.35135,0,0,-0.35135
354,-3.1663,-0.31663,0,0,-0.31663
355,-2.9056,-0.29056,0,0,-0.29056
356,-2.4738,-0.24738,0,0,-0.24738
357,-2.1609,-0.21609,0,0,-0.21609
358,-1.6574,-0.16574,0,0,-0.16574
359,-1.1148,-0.11148,0,0,-0.11148
360,-0.7332,-0.07332,0,0,-0.07332
361,-0.1357,-0.01357,0,0,-0.01357
362,0.4882,0.04882,0,0,0.04882
363,0.9157,0.09157,0,0,0.09157
364,1.7642,0.17642,0,0,0.17642
365,2.0555,0.20555,0,0,0.20555
366,2.7912,0.27912,0,0,0.27912
367,3.537,0.3537,0,0,0.3537
368,4.0221,0.40221,0,0,0.40221
369,4.7254,0.47254,0,0,0.47254
370,5.1907,0.51907,0,0,0.51907
371,5.8673,0.58673,0,0,0.58673
372,6.3008,0.63008,0,0,0.63008
373,6.9452,0.69452,0,0,0.69452
374,7.3718,0.73718,0,0,0.73718
375,7.9902,0.79902,0,0,0.79902
376,8.3972,0.83972,0,0,0.83972
377,9.0046,0.90046,0,0,0.90046
378,9.6082,0.96082,0,0,0.96082
379,10.0082,1.00082,0,0,1.00082
380,10.5974,1.05974,0,0,1.05974
381,10.9662,1.09662,0,0,1.09662
382,11.4697,1.14697,0,0,1.14697
383,11.7676,1.17676,0,0,1.17676
384,12.1334,1.21334,0,0,1.21334
385,12.3145,1.23145,0,0,1.23145
386,12.5006,1.25006,0,0,1.25006
387,12.6102,1.26102,0,0,1.26102
388,12.6456,1.26456,0,0,1.26456
389,12.634,1.2634,-0,0,1.2634
390,12.5782,1.25782,-0,0,1.25782
391,12.4185,1.24185,-0,0,1.24185
392,12.1679,1.21679,-0,0,1.21679
393,11.951,1.1951,-0,0,1.1951
394,11.5521,1.15521,-0,0,1.15521
395,11.0666,1.10666,-0,0,1.10666
396,10.6966,1.06966,-0,0,1.06966
397,10.2915,1.02915,-0,0,1.02915
398,9.623,0.9623,-0,0,0.9623
399,8.8897,0.88897,-0,0,0.88897
400,8.3707,0.83707,-0,0,0.83707
401,7.6067,0.76067,-0,0,0.76067
402,7.0937,0.70937,-0,0,0.70937
403,6.3325,0.63325,-0,0,0.63325
